Date,Day,Events,Weather_High,Weather_Low,Weather_Condition,Event_Multiplier,Weather_Multiplier,Total_Revenue,Grant_Park_North,Grant_Park_South,Millennium,Lakeside
2025-08-05,Tuesday,"Millennium Park Summer Film Series:
My Best Friend’s Wedding; Death Cab for Cutie; Parade",82.74,70.38,scattered clouds,1.10,0.970,46562,15586,5538,8773,4460
2025-08-06,Wednesday,Joshua Bell and Tchaikovsky Romeo & Juliet; Men I Trust; Summer Fireworks; Free Admission Evening,85.55,65.75,clear sky,1.30,0.970,42811,19053,6770,10725,5452
2025-08-07,Thursday,"Millennium Park Summer Music Series Ends:
Ten City
Caramelo Haze
DJ Emmaculate; Wait Wait… Don’t Tell Me!",89.26,71.64,broken clouds,1.20,0.970,121448,19795,7034,11142,5665
2025-08-08,Friday,Live On the Lake!; Stravinsky Firebird,94.15,75.2,broken clouds,1.30,0.970,95492,22028,7828,12399,6304
2025-08-09,Saturday,"Aerial Arts Society presents
The Northern Mid-West Regional Aerial Competition; Herb Alpert & The Tijuana Brass & Other Delights; Stravinsky Firebird; Chicago Fire FC vs. Los Angeles Football Club; Jeezy; Summer Fireworks; Millennium Park Summer Workouts",93.87,72.81,few clouds,1.30,0.970,102461,30048,10678,16914,8599
2025-08-10,Sunday,Preseason: Miami Dolphins vs. Chicago Bears,80.67,76.68,few clouds,1.30,0.970,76208,28610,10167,16105,8187
2025-08-11,Monday,Broadway In Chicago Summer Concert 2025,80,66,partly cloudy,1.40,1.000,126095,21530,7651,12119,6161
2025-08-12,Tuesday,"Millennium Park Summer Film Series:
Wicked; MJ",83,68,partly cloudy,1.10,0.970,137219,15586,5538,8773,4460
2025-08-13,Wednesday,Saint-Saëns Organ Symphony; Goo Goo Dolls & Dashboard Confessional; Summer Fireworks; Free Admission Evening,86,70,partly cloudy,1.40,0.970,73772,20519,7291,11550,5872
2025-08-14,Thursday,No major events,80,66,partly cloudy,1.00,1.000,121294,17006,6043,9573,4866
2025-08-15,Friday,Live On the Lake!; Carmina Burana; The Fray,83,68,partly cloudy,1.10,0.970,83079,18639,6623,10492,5334
2025-08-16,Saturday,Millennium Park Outdoor Public Art Walking Tour; Live On the Lake!; Live On the Lake!; Dance for Life; Carmina Burana; Summer Fireworks; The Great American Lobster Fest; Chicago Air & Water Show; Millennium Park Summer Workouts,86,70,partly cloudy,1.30,0.970,58678,30048,10678,16914,8599
2025-08-17,Sunday,Live On the Lake!; Melissa Etheridge & Indigo Girls; Preseason: Buffalo Bills vs. Chicago Bears; Free Museum Admission Day,80,66,partly cloudy,1.30,1.000,180207,29495,10481,16603,8440
2025-08-18,Monday,No major events,83,68,partly cloudy,1.00,0.970,165752,14917,5301,8397,4269
