Date,Day,Events,Weather_High,Weather_Low,Weather_Condition,Event_Multiplier,Weather_Multiplier,Total_Revenue,Grant_Park_North,Grant_Park_South,Millennium,Lakeside
2025-08-05,Tuesday,"Millennium Park Summer Film Series:
My Best Friend’s Wedding; Death Cab for Cutie; Parade",82.78,70.38,scattered clouds,1.10,0.970,46562,15831,6421,3725,9459
2025-08-06,Wednesday,Joshua Bell and Tchaikovsky Romeo & Juliet; Men I Trust; Summer Fireworks; Free Admission Evening,85.55,65.75,clear sky,1.30,0.970,42811,19353,7849,4554,11564
2025-08-07,Thursday,"Millennium Park Summer Music Series Ends:
Ten City
Caramelo Haze
DJ Emmaculate; Wait Wait… Don’t Tell Me!",89.26,71.64,broken clouds,1.20,0.970,121448,20106,8155,4731,12014
2025-08-08,Friday,Live On the Lake!; Stravinsky Firebird,94.15,75.2,broken clouds,1.30,0.970,95492,22374,9074,5265,13369
2025-08-09,Saturday,"Aerial Arts Society presents
The Northern Mid-West Regional Aerial Competition; Herb Alpert & The Tijuana Brass & Other Delights; Stravinsky Firebird; Chicago Fire FC vs. Los Angeles Football Club; Jeezy; Summer Fireworks; Millennium Park Summer Workouts",93.87,72.81,few clouds,1.30,0.970,102461,30521,12378,7181,18237
2025-08-10,Sunday,Preseason: Miami Dolphins vs. Chicago Bears,80.67,76.68,few clouds,1.30,0.970,76208,29060,11786,6838,17364
2025-08-11,Monday,Broadway In Chicago Summer Concert 2025,80,66,partly cloudy,1.40,1.000,126095,21869,8869,5146,13067
2025-08-12,Tuesday,"Millennium Park Summer Film Series:
Wicked; MJ",83,68,partly cloudy,1.10,0.970,137219,15831,6421,3725,9459
2025-08-13,Wednesday,Saint-Saëns Organ Symphony; Goo Goo Dolls & Dashboard Confessional; Summer Fireworks; Free Admission Evening,86,70,partly cloudy,1.40,0.970,73772,20841,8453,4904,12453
2025-08-14,Thursday,No major events,80,66,partly cloudy,1.00,1.000,121294,17273,7006,4064,10321
2025-08-15,Friday,Live On the Lake!; Carmina Burana; The Fray,83,68,partly cloudy,1.10,0.970,83079,18932,7678,4455,11312
2025-08-16,Saturday,Millennium Park Outdoor Public Art Walking Tour; Live On the Lake!; Live On the Lake!; Dance for Life; Carmina Burana; Summer Fireworks; The Great American Lobster Fest; Chicago Air & Water Show; Millennium Park Summer Workouts,86,70,partly cloudy,1.30,0.970,58678,30521,12378,7181,18237
2025-08-17,Sunday,Live On the Lake!; Melissa Etheridge & Indigo Girls; Preseason: Buffalo Bills vs. Chicago Bears; Free Museum Admission Day,80,66,partly cloudy,1.30,1.000,180207,29959,12151,7049,17901
2025-08-18,Monday,No major events,83,68,partly cloudy,1.00,0.970,165752,15152,6145,3565,9054
2025-08-19,Tuesday,"Coheed and Cambria & Taking Back Sunday; Millennium Park Summer Film Series Ends:
Pride & Prejudice",86,70,partly cloudy,1.10,0.970,76378,15831,6421,3725,9459
2025-08-20,Wednesday,Rob Thomas & A Great Big World; Summer Fireworks; Free Admission Evening,80,66,partly cloudy,1.30,1.000,70179,19951,8092,4694,11921
2025-08-21,Thursday,Roosevelt: Move-In,83,68,partly cloudy,1.10,0.970,62856,18431,7475,4337,11013
2025-08-22,Friday,Live On the Lake!; Above & Beyond,86,70,partly cloudy,1.10,0.970,63671,18932,7678,4455,11312
2025-08-23,Saturday,"Chicago House Music Festival; Live On the Lake!; Unbound: Shattered Frames, Endless Visions; 44: The Obama Musical; Summer Fireworks; Millennium Park Summer Workouts; Chicago Triathlon",80,66,partly cloudy,1.30,1.000,56913,31465,12761,7403,18801
2025-08-24,Sunday,Live On the Lake!; Simple Plan,83,68,partly cloudy,1.10,0.970,191167,24589,9973,5786,14693
2025-08-25,Monday,Columbia College Move-In,86,70,partly cloudy,1.10,0.970,93774,16667,6760,3922,9959
2025-08-26,Tuesday,44: The Obama Musical,80,66,partly cloudy,1.20,1.000,64461,17804,7221,4189,10639
2025-08-27,Wednesday,Michael Learns to Rock; Neil Young; Summer Fireworks; Free Admission Evening,83,68,partly cloudy,1.30,0.970,64636,19353,7849,4554,11564
2025-08-28,Thursday,Chicago Jazz Festival; Oasis,86,70,partly cloudy,1.25,0.970,40809,20944,8494,4928,12515
2025-08-29,Friday,Live On the Lake!; My Chemical Romance,80,66,partly cloudy,1.10,1.000,136512,19518,7916,4592,11662
2025-08-30,Saturday,Live On the Lake!; The Lumineers; fromis_9; Summer Fireworks; Millennium Park Summer Workouts End; 44: The Obama Musical,83,68,partly cloudy,1.30,0.970,120922,30521,12378,7181,18237
2025-08-31,Sunday,Bike The Drive; Live On the Lake!; System of A Down & Avenged Sevenfold; Zakir Khan,86,70,partly cloudy,1.10,0.970,88793,24589,9973,5786,14693
2025-09-01,Monday,Live On the Lake!; Labor Day (Federal),73,58,partly cloudy,1.10,1.000,61195,17183,6969,4043,10267
2025-09-02,Tuesday,44: The Obama Musical,76,60,partly cloudy,1.20,1.000,59813,17804,7221,4189,10639
2025-09-03,Wednesday,The Black Keys; Free Admission Evening,79,62,partly cloudy,1.10,1.000,57369,16882,6847,3972,10087
